Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,250.08,251.25,244.41,248.42,104654163
2024-01-03,244.98,245.68,236.32,238.45,121082599
2024-01-04,239.25,242.7,237.73,237.93,102629283
2024-01-05,236.86,240.1196,234.9001,237.49,92488939
2024-01-08,236.14,241.25,235.3,240.45,85166580
2024-01-09,238.11,238.9646,232.04,234.96,96705664
2024-01-10,235.1,235.5,231.29,233.94,91628502
2024-01-11,230.57,230.93,225.37,227.22,105873612
2024-01-12,220.08,225.34,217.1501,218.89,123043812
2024-01-16,215.1,223.49,212.18,219.91,115355046
2024-01-17,214.86,215.67,212.01,215.55,103164400
2024-01-18,216.88,217.45,208.74,211.88,108595431
2024-01-19,209.99,213.19,207.56,212.19,102260343
2024-01-22,212.26,217.8,206.27,208.8,117952527
2024-01-23,211.3,215.65,207.7516,209.14,106605946
2024-01-24,211.88,212.73,206.77,207.83,123369932
2024-01-25,189.7,193,180.06,182.63,198076787
2024-01-26,185.5,186.78,182.1,183.25,107343231
2024-01-29,185.63,191.48,183.67,190.93,125013148
2024-01-30,195.33,196.3593,190.61,191.59,109982327
2024-01-31,186.995,193.97,185.8459,187.29,103221430
2024-02-01,188.5,189.88,184.28,188.86,91843275
2024-02-02,185.04,188.69,182,187.91,110612672
2024-02-05,184.26,184.68,175.01,181.06,134294447
2024-02-06,177.21,186.49,177.11,185.1,122675954
2024-02-07,188.18,189.79,182.68,187.58,111535217
2024-02-08,189,191.6171,185.58,189.56,83034043
2024-02-09,190.18,194.12,189.48,193.57,84476347
2024-02-12,192.11,194.73,187.28,188.13,95498597
2024-02-13,183.99,187.26,182.1087,184.02,86759478
2024-02-14,185.3,188.89,183.35,188.71,81202987
2024-02-15,189.16,200.88,188.8595,200.45,120831762
2024-02-16,202.06,203.17,197.4,199.95,111346705
2024-02-20,196.13,198.6,189.13,193.76,104545762
2024-02-21,193.36,199.44,191.95,194.77,103844008
2024-02-22,194,198.32,191.36,197.41,92739461
2024-02-23,195.31,197.57,191.5,191.97,78841917
2024-02-26,192.29,201.78,192,199.4,111747116
2024-02-27,204.04,205.6,198.26,199.73,108645412
2024-02-28,200.42,205.3,198.44,202.04,99806173
2024-02-29,204.18,205.28,198.4463,201.88,85906974
2024-03-01,200.52,204.52,198.5,202.64,82243119
2024-03-04,198.73,199.75,186.72,188.14,134334869
2024-03-05,183.05,184.59,177.57,180.74,119660758
2024-03-06,179.99,181.576,173.7,176.54,107920944
2024-03-07,174.35,180.04,173.7,178.65,102129004
2024-03-08,181.5,182.73,174.7,175.34,85544644
2024-03-11,175.445,182.87,174.8,177.77,85391528
2024-03-12,177.77,179.43,172.4101,177.54,87391684
2024-03-13,173.05,176.05,169.15,169.48,106524518
2024-03-14,167.77,171.17,160.51,162.5,126325696
2024-03-15,163.16,165.1845,160.76,163.57,97146832
2024-03-18,170.02,174.72,165.9,173.8,108214358
2024-03-19,172.36,172.82,167.42,171.32,77271428
2024-03-20,173,176.25,170.82,175.66,83846726
2024-03-21,176.39,178.18,171.8,172.82,73178014
2024-03-22,166.69,171.2,166.3,170.83,75580637
2024-03-25,168.76,175.24,168.73,172.63,74228615
2024-03-26,178.58,184.25,177.38,177.67,113186227
2024-03-27,181.41,181.91,176,179.83,81804043
2024-03-28,177.45,179.57,175.3,175.79,77654838
2024-04-01,176.17,176.75,170.21,175.22,81562127
2024-04-02,164.75,167.69,163.43,166.63,116650594
2024-04-03,164.02,168.82,163.28,168.38,82950141
2024-04-04,170.07,177.19,168.01,171.11,123161960
2024-04-05,169.08,170.86,160.51,164.9,143157603
2024-04-08,169.34,174.5,167.79,172.98,104423320
2024-04-09,172.91,179.22,171.92,176.88,103232675
2024-04-10,173.04,174.93,170.01,171.76,84532407
2024-04-11,172.55,175.88,168.51,174.6,94515987
2024-04-12,172.34,173.8099,170.3644,171.05,64722669
2024-04-15,170.24,170.69,161.38,161.48,100245310
2024-04-16,156.742,158.19,153.75,157.11,96999956
2024-04-17,157.64,158.33,153.78,155.45,82439718
2024-04-18,151.25,152.2,148.7,149.93,96098830
2024-04-19,148.97,150.94,146.22,147.0101,86868117
2024-04-22,140.56,144.44,138.8025,142.05,107097564
2024-04-23,143.33,147.26,141.11,144.68,124545104
2024-04-24,162.84,167.97,157.51,162.13,181178020
2024-04-25,158.96,170.88,158.36,170.18,126427521
2024-04-26,168.85,172.12,166.37,168.29,109815725
2024-04-29,188.42,198.87,184.54,194.05,243869678
2024-04-30,186.98,190.95,182.8401,183.28,127031787
2024-05-01,182,185.86,179.01,179.99,92829719
2024-05-02,182.86,184.6,176.02,180.01,89148041
2024-05-03,182.1,184.78,178.42,181.19,75491539
2024-05-06,183.8,187.56,182.2,184.76,84390253
2024-05-07,182.4,183.26,177.4,177.81,75045854
2024-05-08,171.59,176.06,170.15,174.72,79969488
2024-05-09,175.01,175.62,171.37,171.97,65950292
2024-05-10,173.05,173.0599,167.75,168.47,72627178
2024-05-13,170,175.4,169,171.89,67018903
2024-05-14,174.4959,179.49,174.07,177.55,86407422
2024-05-15,179.9,180,173.11,173.99,79662993
2024-05-16,174.1,175.79,171.43,174.84,59812220
2024-05-17,173.55,179.63,172.75,177.46,77445845
2024-05-20,177.56,177.754,173.52,174.95,61727425
2024-05-21,175.51,186.875,174.71,186.6,115266512
2024-05-22,182.85,183.8,178.12,180.11,88313477
2024-05-23,181.8,181.9,173.26,173.74,71975496
2024-05-24,174.835,180.08,173.73,179.24,65584478
2024-05-28,176.4,178.25,173.16,176.75,59736620
2024-05-29,174.19,178.15,173.93,176.19,54782649
2024-05-30,178.575,182.67,175.38,178.79,77784755
2024-05-31,178.5,180.32,173.82,178.08,67314602
2024-06-03,178.13,182.6389,174.49,176.29,68568920
2024-06-04,174.775,177.755,174,174.77,60056340
2024-06-05,175.35,176.15,172.13,175,57953756
2024-06-06,174.6,179.73,172.73,177.94,69887024
2024-06-07,176.13,179.35,175.58,177.48,56244932
