Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-04-26,54.7114,54.8918,54.3863,54.8214,427391.73724762
2024-04-29,54.7937,55.0017,54.5038,54.8016,393292.98883681
2024-04-30,54.2491,54.696,53.305,53.3675,628709.86993906
2024-05-01,52.9641,54.0138,52.3017,53.5206,472206.79765432
2024-05-02,53.8809,54.9076,53.7357,54.7743,524504.64605147
2024-05-03,54.923,55.2445,54.3784,54.974,910439.9003124
2024-05-06,54.7079,55.6048,54.6782,55.3818,343041.93306187
2024-05-07,52.149,53.2461,50.0529,50.2174,2771512.8892256
2024-05-08,51.4007,52.5524,51.4007,51.5652,1924375.537793
2024-05-09,51.5652,51.6867,50.0098,51.0088,2694809.2081024
2024-05-10,51.1654,51.2987,50.6797,50.6837,3423684.3110052
2024-05-13,51.0479,51.0479,50.2759,50.374,1140808.7068426
2024-05-14,50.2645,50.5757,50.1074,50.3898,1447299.3133017
2024-05-15,50.5623,50.8284,49.935,50.2407,1541160.8333266
2024-05-16,50.4211,50.4329,49.4023,49.5356,2023696.0221806
2024-05-17,49.218,49.6139,48.991,49.2101,1958152.7202806
2024-05-20,49.0341,49.2338,47.8527,48.0663,2712541.271867
2024-05-21,47.8389,48.2071,47.1341,47.7135,3669342.81155
2024-05-22,48.5872,49.5787,48.1094,48.3483,3932363.3198367
2024-05-23,49.2611,50.1233,48.8146,50.037,2845080.0265425
2024-05-24,49.0416,49.0926,47.6862,48.0544,2230669.6317434
2024-05-28,48.164,48.3404,47.8389,47.9761,1140328.9100684
2024-05-29,46.6243,47.3117,46.2597,47.0475,1704049.2860862
2024-05-30,47.1337,47.3607,46.7339,47.1337,1629346.4595962
2024-05-31,47.3022,47.7898,47.2199,47.6625,1358416.9608653
2024-06-03,48.2229,48.6421,47.9524,48.3325,1060662.2286529
2024-06-04,48.3404,49.1223,48.16,49.0811,1310957.913979
2024-06-05,48.9791,49.8294,48.7323,48.9712,1636471.9521164
2024-06-06,48.7987,49.1104,48.3676,48.4424,1160401.2591628
2024-06-07,47.8701,48.266,47.5842,47.6352,969271.15159345
2024-06-10,47.0475,47.055,46.5302,46.8632,1506714.9978876
2024-06-11,46.334,46.5535,45.8404,46.1695,1029169.1850641
2024-06-12,46.824,47.7546,46.7928,47.2864,1217910.5172041
2024-06-13,46.7418,46.8359,46.1422,46.4202,791457.95662101
2024-06-14,45.6328,46.1343,45.4643,46.0287,1185672.2573489
2024-06-17,45.8171,46.6298,45.6957,46.3969,604462.26806411
2024-06-18,46.1109,46.1303,45.5035,46.1303,1092147.6159101
2024-06-20,44.6923,45.3722,44.0813,44.1398,2426523.6958511
2024-06-21,44.1675,44.998,43.8266,44.7631,1742558.0814436
2024-06-24,44.9197,45.9618,44.9078,45.4291,1064311.7466701
2024-06-25,45.7032,46.4752,45.6328,46.3811,1804571.8145201
2024-06-26,44.896,45.3156,44.5377,44.8924,1783922.6884523
2024-06-27,44.8062,45.7621,44.7002,45.7151,1520243.7356562
2024-06-28,45.386,45.9108,45.386,45.6249,2280234.1697935
2024-07-01,45.7779,45.9579,44.563,44.6769,1604716.041146
2024-07-02,44.6883,44.7904,44.2145,44.4613,1441901.599591
2024-07-03,45.5505,46.3265,45.5505,46.1774,1957466.2025557
2024-07-05,46.7611,46.7908,46.1501,46.4831,2040238.8024515
2024-07-08,47.1962,47.2864,46.5104,46.6476,1963708.6648424
2024-07-09,47.0669,47.1471,46.1853,46.6555,2826327.1185773
2024-07-10,47.1491,47.2274,46.491,46.7259,833738.7712997
2024-07-11,46.7339,47.8076,46.5144,47.5881,1477352.9665676
2024-07-12,46.6045,47.0277,46.0326,46.8161,1907442.2846154
2024-07-15,46.9846,47.0396,46.2597,46.4519,1661270.8098597
2024-07-16,46.3419,47.4782,46.2403,47.1922,1475946.7536813
2024-07-17,46.8592,47.5332,46.828,47.0866,815361.02357825
2024-07-18,46.436,46.542,45.2448,45.3781,1317358.6071168
2024-07-19,45.0138,45.2958,44.7239,44.7943,2650269.7756299
2024-07-22,37.6356,38.2821,36.2014,37.8902,10451813.815617
2024-07-23,37.5885,37.9608,37.0988,37.2829,3407932.6849898
2024-07-24,37.5728,37.849,37.1418,37.2319,2900458.272315
2024-07-25,38.5133,39.4203,37.514,38.2977,4393639.428213
2024-07-26,39.7711,41.017,39.434,40.1314,7182595.9927165
2024-07-29,40.1121,40.2414,39.0383,39.0618,3345982.7546759
2024-07-30,39.4575,40.2256,39.3792,39.9005,1914588.1940196
2024-07-31,39.8807,39.9807,38.8032,39.6928,4408661.150625
2024-08-01,39.2028,39.3792,38.8199,39.1832,3254277.7680247
2024-08-02,38.6622,38.7131,38.2194,38.6974,3496136.1760328
2024-08-05,37.855,39.1045,37.6081,38.5876,1142151.1169664
2024-08-06,38.4897,39.0755,37.9843,38.0665,2344105.839315
2024-08-07,38.9403,38.9403,38.1528,38.3212,1308752.8905057
2024-08-08,38.2037,40.0179,38.0195,40.014,2853200.8421583
2024-08-09,40.398,41.0877,40.398,40.7935,2784605.2160984
2024-08-12,40.7781,40.7781,39.728,39.7806,2240306.4009972
2024-08-13,40.2295,40.7077,40.1512,40.3782,3632007.9870233
2024-08-14,40.6215,40.7037,39.5947,39.6102,970343.03800408
2024-08-15,39.8649,40.5859,39.8649,40.2295,1347539.8659078
2024-08-16,40.2489,40.4565,40.1002,40.2177,1577252.7800392
2024-08-19,40.5467,40.5467,40.1904,40.4253,700362.92437974
2024-08-20,40.6879,40.7271,40.0765,40.0765,1199680.7918917
2024-08-21,40.398,40.6329,40.0219,40.061,1347802.7332895
2024-08-22,40.8445,40.9659,39.9471,39.9748,1187206.0757603
2024-08-23,40.786,41.5184,40.5878,41.4322,1394899.3804845
2024-08-26,41.4128,41.5734,40.8544,40.8722,1161981.0155633
2024-08-27,43.8811,43.893,42.404,42.4158,2560854.0320986
2024-08-28,42.7255,43.0466,42.4237,42.6472,1071174.3718087
2024-08-29,42.5372,43.2934,42.5372,42.9723,889063.42275166
2024-08-30,42.9252,43.6972,42.9252,43.6735,833225.7970889
2024-09-03,43.227,43.7969,43.227,43.6893,1455254.241735
2024-09-04,42.2473,43.0897,42.1532,43.0075,1304654.2010403
2024-09-05,43.3876,44.3553,43.274,44.277,1533088.5078103
2024-09-06,43.4936,44.0813,43.3524,44.0381,2188715.4872089
2024-09-09,44.1204,44.6769,43.8697,44.3008,1722937.4559079
2024-09-10,44.1398,44.2612,43.6581,44.0342,1439627.6691342
2024-09-11,43.8657,44.5179,43.5327,44.0536,1180440.4308207
2024-09-12,42.8663,43.0154,41.73,41.9183,3066531.7589804
2024-09-13,42.3142,42.7888,41.6577,42.2074,2749447.2787071
2024-09-16,42.2786,42.4486,42.0492,42.2904,1123342.1998492
2024-09-17,44.5408,44.7979,43.7577,43.9397,1971051.1703016
2024-09-18,43.912,44.4301,43.295,43.5877,2042169.3576869
2024-09-19,45.3635,45.7906,44.79,45.5296,2222901.6404086
2024-09-20,45.1143,45.1697,44.6397,44.9838,2136668.2781312
2024-09-23,44.7623,44.8651,44.5151,44.8374,2074088.7233338
2024-09-24,44.8572,45.4149,44.7969,45.3437,1465825.5645708
2024-09-25,45.6008,45.9844,45.2804,45.8895,2921777.4660514
2024-09-26,46.7398,46.9217,45.7787,46.5499,2756423.3187752
2024-09-27,46.3166,46.3838,44.5369,44.5646,1904934.2903664
2024-09-30,44.8889,45.1459,43.821,44.6713,1368848.2409098
2024-10-01,44.9383,45.1756,43.1883,43.8507,2270448.9540269
2024-10-02,42.9905,42.9905,42.4269,42.5258,2541599.7173734
2024-10-03,42.3082,43.386,41.893,42.3181,1453939.2418596
2024-10-04,42.595,43.2772,42.2687,42.6642,2564307.3725542
2024-10-07,43.3464,43.3761,41.6161,41.626,1900208.5858041
2024-10-08,42.7631,42.941,42.3775,42.9312,1561353.5710274
2024-10-09,42.9312,44.0732,42.8867,43.3069,1294247.3432709
2024-10-10,42.8026,43.3365,42.773,42.8125,973606.39237041
2024-10-11,43.1586,43.7617,42.8026,43.0399,1691014.3630205
2024-10-14,43.5343,44.1473,43.3168,43.6925,1074002.7089202
2024-10-15,44.3648,44.9482,43.8902,44.0188,1435518.8550875
2024-10-16,43.6134,44.434,43.3267,44.3253,1713045.4004694
2024-10-17,44.2462,44.968,44.0979,44.2462,1513646.4583034
2024-10-18,44.2264,45.0965,43.7815,44.9185,1215545.2723842
