Date,SMA(20),RSI(21),ATR(14)
2024-09-30,235.16,62.88,9.80
2024-10-01,237.53,61.16,10.20
2024-10-02,239.01,57.07,10.65
2024-10-03,239.54,53.59,10.75
2024-10-04,241.50,56.72,10.72
2024-10-07,242.73,53.03,10.62
2024-10-08,243.65,54.27,10.27
2024-10-09,244.29,52.89,10.10
2024-10-10,244.74,51.98,10.12
2024-10-11,244.12,44.54,11.14
2024-10-14,243.74,45.07,10.93
2024-10-15,243.32,45.24,10.66
2024-10-16,243.03,45.98,10.18
2024-10-17,241.88,45.82,9.75
2024-10-18,241.00,45.74,9.27
2024-10-21,239.44,45.01,8.96
2024-10-22,237.63,44.65,8.58
2024-10-23,235.46,42.88,8.44
2024-10-24,235.77,60.62,11.30
2024-10-25,236.21,62.87,11.50
2024-10-28,236.25,60.10,11.49
2024-10-29,236.33,58.88,11.34
2024-10-30,236.75,58.07,11.07
2024-10-31,237.21,54.95,11.03
2024-11-01,237.16,54.60,10.77
2024-11-04,237.26,52.16,10.72
2024-11-05,237.61,55.11,10.84
2024-11-06,239.98,64.93,12.79
2024-11-07,242.89,66.66,12.90
2024-11-08,248.06,71.02,14.25
2024-11-11,254.60,75.07,15.90
2024-11-12,260.05,67.65,16.67
2024-11-13,265.49,67.92,17.06
2024-11-14,270.01,61.99,17.26
2024-11-15,275.01,63.66,17.13
2024-11-18,281.00,66.57,17.90
2024-11-19,287.40,67.66,17.66
2024-11-20,293.82,66.41,17.28
2024-11-21,297.78,65.65,16.95
2024-11-22,301.95,67.76,17.44
2024-11-25,305.75,63.34,17.89
2024-11-26,309.69,63.23,17.42
2024-11-27,313.45,61.54,17.32
2024-11-29,318.22,63.87,16.98
2024-12-02,323.63,65.97,16.83
2024-12-03,329.05,64.11,16.26
2024-12-04,334.38,65.29,15.78
2024-12-05,338.43,67.30,15.90
2024-12-06,343.04,70.37,16.19
2024-12-09,346.47,70.45,16.95
2024-12-10,349.02,72.09,17.16
2024-12-11,353.83,75.15,17.64
2024-12-12,358.23,72.80,17.40
2024-12-13,364.48,75.03,17.63
2024-12-16,371.59,77.85,18.30
2024-12-17,378.65,79.39,18.89
2024-12-18,383.36,67.74,21.93
2024-12-19,388.06,66.72,22.96
2024-12-20,392.14,62.91,23.43
2024-12-23,396.04,64.26,23.12
2024-12-24,402.22,68.29,23.76
2024-12-26,408.02,66.27,23.09
2024-12-27,412.96,61.05,23.41
2024-12-30,416.57,58.00,22.88
2024-12-31,418.91,55.24,23.06
